dtp_id,h3_r8,h3_r9,coord_valid,has_traffic_light,has_crosswalk,has_unregulated_cross,has_regulated_cross,has_bus_stop,has_roundabout,has_bridge,has_underground_cross,has_school_nearby,has_residential,has_gas_station,has_camera,is_intersection,is_open_road,poi_count_from_data,traffic_lane_amount,dtp_traffic_lane,traffic_area_width,wayside_width,sidewalk_width,center_mall_width,lane_width_m,has_sidewalk,has_center_divider,is_multilane,dtp_lane_normalized,srf_code,tr_area_state_code,cmall_type_code,cut_code,cut_pr_code,distance_to_intersection_m,distance_to_crosswalk_m,distance_to_bus_stop_m,poi_count_100m,poi_count_300m,crossing_density,stop_density,speed_limit,road_class,landuse_type,h3_res,cell_id
502056627,8811aa7a4dfffff,8911aa7a4cfffff,1,,,0,1,1,,0,0,0,1,0,0,0,0,3,2.0,2.0,119.0,0.0,50.0,0.0,59.5,1,0,0,1.0,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7a4dfffff
502058027,8811aa7963fffff,8911aa790cbffff,1,,,0,0,0,,0,0,0,1,0,0,0,0,2,2.0,1.0,97.0,0.0,10.0,0.0,48.5,1,0,0,0.5,"Асфальтобетонное, с поверхностной обработкой",Обработанное противогололедными материалами,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7963fffff
503102027,8811aa44adfffff,8911aa44adbffff,1,,,1,1,1,,0,0,0,1,0,0,0,0,3,4.0,2.0,128.0,0.0,20.0,0.0,32.0,1,0,1,0.5,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa44adfffff
501995227,8811aa7b47fffff,8911aa7b473ffff,1,,,0,1,0,,0,0,0,1,0,0,1,0,3,8.0,2.0,318.0,0.0,30.0,0.0,39.75,1,0,1,0.25,Асфальтобетонное,Заснеженное,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7b47fffff
501990427,881181b443fffff,891181b4433ffff,1,,,0,0,1,,0,0,0,0,0,0,0,1,2,5.0,1.0,216.0,36.0,0.0,30.0,43.2,0,1,1,0.2,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса с барьером в виде железобетонной конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,881181b443fffff
502116427,8811aa7807fffff,8911aa78067ffff,1,,,0,0,0,,1,0,0,0,0,0,0,1,1,5.0,1.0,160.0,0.0,10.0,30.0,32.0,1,1,1,0.2,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7807fffff
502107427,8811aa7185fffff,8911aa7184bffff,1,,,1,1,0,,0,0,0,0,0,0,1,0,3,2.0,1.0,64.0,0.0,32.0,0.0,32.0,1,0,0,0.5,Асфальтобетонное,Мокрое,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7185fffff
502135627,8811aa7809fffff,8911aa7809bffff,1,,,0,1,1,,0,0,0,0,0,0,0,0,2,2.0,2.0,140.0,0.0,25.0,0.0,70.0,1,0,0,1.0,Асфальтобетонное,Мокрое,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7809fffff
502157627,8811aa712bfffff,8911aa712b7ffff,1,,,0,0,1,,0,0,0,1,0,0,0,0,1,7.0,3.0,304.0,0.0,90.0,0.0,43.42857142857143,1,0,1,0.42857142857142855,Асфальтобетонное,Мокрое,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa712bfffff
502159027,8811aa7115fffff,8911aa71147ffff,1,,,0,0,0,,0,1,0,1,1,0,1,1,3,5.0,5.0,190.0,0.0,40.0,10.0,38.0,1,1,1,1.0,Асфальтобетонное,Мокрое,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7115fffff
502659027,8811aa7ad9fffff,8911aa7ad87ffff,1,,,0,0,1,,1,0,0,1,0,0,0,0,3,4.0,2.0,148.0,0.0,46.0,8.0,37.0,1,1,1,0.5,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7ad9fffff
502828227,8811aa45cbfffff,8911aa45cabffff,1,,,0,0,1,,0,0,1,1,0,0,1,0,6,4.0,1.0,182.0,0.0,20.0,0.0,45.5,1,0,1,0.25,"Асфальтобетонное, с поверхностной обработкой",Обработанное противогололедными материалами,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa45cbfffff
502137827,8811aa791dfffff,8911aa791c3ffff,1,,,0,0,0,,0,0,0,1,0,0,0,1,2,8.0,6.0,146.0,0.0,20.0,18.0,18.25,1,1,1,0.75,Асфальтобетонное,Мокрое,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa791dfffff
502659627,8811aa702bfffff,8911aa702afffff,1,,,0,1,1,,0,0,0,1,0,0,1,0,2,4.0,4.0,128.0,0.0,36.0,0.0,32.0,1,0,1,1.0,Асфальтобетонное,Мокрое,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa702bfffff
502153227,8811aa7b1dfffff,8911aa7b1cbffff,1,,,0,1,1,,0,0,0,1,0,0,0,0,3,4.0,1.0,135.0,0.0,88.0,99.0,33.75,1,1,1,0.25,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса с грунтовым покрытием,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7b1dfffff
502178827,8811aa7837fffff,8911aa78377ffff,1,,,0,0,0,,1,0,0,0,0,0,0,1,4,4.0,2.0,118.0,0.0,20.0,20.0,29.5,1,1,1,0.5,Асфальтобетонное,Мокрое,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7837fffff
502157227,8811aa7103fffff,8911aa71393ffff,1,,,0,0,0,,0,0,0,0,0,0,0,0,1,2.0,1.0,73.0,0.0,0.0,0.0,36.5,0,0,0,0.5,Асфальтобетонное,Мокрое,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7103fffff
502204427,8811aa6143fffff,8911aa6143bffff,1,,,1,1,1,,0,0,0,1,0,0,1,0,4,2.0,2.0,90.0,0.0,24.0,0.0,45.0,1,0,0,1.0,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa6143fffff
502177627,8811aa7815fffff,8911aa7815bffff,1,,,0,0,1,,0,1,0,0,0,0,1,0,4,5.0,4.0,176.0,0.0,40.0,0.0,35.2,1,0,1,0.8,Асфальтобетонное,Сухое,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7815fffff
502225627,8811aa7809fffff,8911aa7808bffff,1,,,0,0,0,,0,0,0,0,0,0,0,1,1,5.0,2.0,154.0,20.0,0.0,18.0,30.8,0,1,1,0.4,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7809fffff
502301427,8811aa4695fffff,8911aa4694bffff,1,,,0,0,1,,0,0,0,0,0,0,0,1,2,5.0,5.0,220.0,30.0,0.0,36.0,44.0,0,1,1,1.0,Асфальтобетонное,Сухое,Разделительная полоса с барьером в виде железобетонной конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa4695fffff
502224227,8811aa7a89fffff,8911aa7a887ffff,1,,,0,1,0,,0,0,0,1,0,0,1,0,2,3.0,2.0,119.0,0.0,37.0,0.0,39.666666666666664,1,0,0,0.6666666666666666,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7a89fffff
502232627,8811aa45cbfffff,8911aa45cbbffff,1,,,0,0,0,,0,0,0,0,0,0,0,1,0,5.0,5.0,220.0,30.0,0.0,36.0,44.0,0,1,1,1.0,Асфальтобетонное,Мокрое,Разделительная полоса с барьером в виде железобетонной конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa45cbfffff
502258427,8811aa4eebfffff,8911aa4eeafffff,1,,,0,0,1,,1,0,0,0,0,0,0,1,2,4.0,4.0,200.0,10.0,0.0,20.0,50.0,0,1,1,1.0,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa4eebfffff
502288227,8811aa7811fffff,8911aa7811bffff,1,,,0,0,0,,0,0,0,1,0,0,0,0,2,5.0,4.0,146.0,0.0,80.0,0.0,29.2,1,0,1,0.8,Асфальтобетонное,Со снежным накатом,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7811fffff
502293427,8811aa6333fffff,8911aa63337ffff,1,,,1,1,0,,0,0,1,1,0,0,1,0,4,2.0,1.0,100.0,0.0,20.0,0.0,50.0,1,0,0,0.5,Асфальтобетонное,Заснеженное,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa6333fffff
502307027,8811aa7053fffff,8911aa70523ffff,1,,,0,0,0,,0,0,0,1,0,0,0,1,1,2.0,1.0,186.0,20.0,0.0,20.0,93.0,0,1,0,0.5,Асфальтобетонное,Заснеженное,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7053fffff
502321427,8811aa4dc9fffff,8911aa4dc8bffff,1,,,0,1,0,,0,0,0,0,0,0,1,0,1,4.0,3.0,150.0,0.0,30.0,0.0,37.5,1,0,1,0.75,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa4dc9fffff
502336227,8811aa0021fffff,8911aa0020fffff,1,,,0,0,0,,1,0,0,1,0,0,0,0,2,6.0,1.0,292.0,0.0,0.0,4.0,48.666666666666664,0,1,1,0.16666666666666666,Асфальтобетонное,Заснеженное,Разделительная полоса с барьером в виде железобетонной конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa0021fffff
502339227,8811aa6ac5fffff,8911aa6ac47ffff,1,,,0,1,1,,0,0,0,0,0,0,1,0,4,4.0,1.0,216.0,0.0,30.0,0.0,54.0,1,0,1,0.25,Асфальтобетонное,Заснеженное,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa6ac5fffff
502361827,8811aa6325fffff,8911aa63257ffff,1,,,0,0,0,,0,0,0,0,0,0,0,0,0,4.0,3.0,156.0,0.0,0.0,0.0,39.0,0,0,1,0.75,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa6325fffff
502461627,8811aa41ddfffff,8911aa41dc7ffff,1,,,0,0,1,,0,0,0,0,0,0,0,1,2,4.0,2.0,221.0,20.0,0.0,20.0,55.25,0,1,1,0.5,Асфальтобетонное,Заснеженное,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa41ddfffff
502498227,8811aa099dfffff,8911aa0991bffff,1,,,0,0,0,,0,0,0,1,0,0,1,0,1,4.0,4.0,128.0,0.0,15.0,0.0,32.0,1,0,1,1.0,"Асфальтобетонное, с поверхностной обработкой",Заснеженное,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa099dfffff
502833627,8811aa7aabfffff,8911aa7aaa7ffff,1,,,0,0,1,,0,1,0,0,0,0,1,0,4,8.0,2.0,288.0,0.0,30.0,0.0,36.0,1,0,1,0.25,Асфальтобетонное,Мокрое,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7aabfffff
