cell_id,year,hour,dtp_count,fatal_count,avg_risk
88118180d3fffff,2023,22,1,0,0.4579615501385788
8811818443fffff,2023,17,1,0,0.09913624444565616
881181844dfffff,2023,19,1,0,0.12382068931910574
881181846dfffff,2022,19,1,0,0.054419652399320735
8811818551fffff,2023,12,1,0,0.16339074432485098
881181860bfffff,2023,14,1,0,0.09243013027785797
8811818611fffff,2023,12,1,1,0.10149243709689115
8811818617fffff,2022,6,1,1,0.08022720109492297
8811818617fffff,2022,16,1,0,0.0834470767295501
8811818617fffff,2022,18,1,0,0.08476532734774446
8811818617fffff,2022,21,1,0,0.08384973660618775
8811818617fffff,2022,23,1,0,0.08721655136068152
8811818617fffff,2023,5,1,0,0.07806104906967046
8811818617fffff,2024,13,1,0,0.08252688513551851
8811818627fffff,2022,16,1,1,0.10828171034826221
8811818627fffff,2022,20,1,2,0.10979441909920269
8811818631fffff,2023,10,1,0,0.19002921685584326
8811818635fffff,2023,16,1,0,0.06201554277662222
8811818635fffff,2024,21,1,0,0.06390642871529784
8811818645fffff,2024,13,1,1,0.05638196333597075
8811818647fffff,2024,13,1,0,0.11057703094040801
8811818681fffff,2023,23,1,0,0.07850123890947253
8811818681fffff,2024,10,1,0,0.11945053985881801
8811818681fffff,2024,11,1,0,0.07370096518940633
8811818683fffff,2022,7,1,0,0.08656098291251159
881181868bfffff,2022,8,1,2,0.05598045552641505
881181868bfffff,2022,12,1,1,0.057791354884372294
881181868bfffff,2022,13,1,0,0.05787134146509067
881181868bfffff,2022,19,2,0,0.06028949989500979
881181868bfffff,2023,3,1,0,0.054814881964641064
881181868bfffff,2023,10,1,0,0.057035000508902055
881181868bfffff,2023,20,1,0,0.06051858177923654
881181868bfffff,2023,22,1,0,0.061702057924591665
881181868bfffff,2024,1,1,1,0.05389355328653063
881181868bfffff,2024,8,1,0,0.05644362043607198
881181868bfffff,2024,10,1,0,0.05857259223747361
881181868bfffff,2024,17,1,1,0.059384050216031166
881181868dfffff,2023,21,1,0,0.06676734975907546
8811818691fffff,2022,12,1,0,0.07569381521192427
8811818691fffff,2022,15,1,0,0.0763651818654727
8811818691fffff,2022,21,1,0,0.0800933697285664
8811818691fffff,2023,12,1,0,0.07523065030226733
8811818691fffff,2023,17,1,0,0.07712153624094295
8811818691fffff,2024,19,1,0,0.07992801292117528
8811818691fffff,2024,20,1,1,0.07825606780414832
8811818691fffff,2024,21,1,0,0.08098255790366228
8811818693fffff,2022,15,2,0,0.1322097315839033
8811818697fffff,2024,18,1,0,0.11133063480697829
881181869dfffff,2022,9,1,0,0.18130244042376464
881181869dfffff,2024,8,1,0,0.18264709360841982
881181869dfffff,2024,19,1,1,0.18462104739145896
88118186b1fffff,2024,17,1,0,0.08607788010656585
88118186b1fffff,2024,18,1,0,0.08675424790131771
88118186b1fffff,2024,21,1,0,0.08964071116226842
88118186b9fffff,2023,20,1,0,0.2604508730139587
88118186b9fffff,2024,15,1,0,0.25855998707528305
88118186c3fffff,2023,12,1,0,0.17542345619928834
88118186d5fffff,2022,18,1,1,0.22668400665521343
88118186d5fffff,2022,19,1,0,0.22676399323593183
88118186d7fffff,2022,11,1,1,0.25488368711554305
88118186d7fffff,2023,16,1,0,0.25647638244720194
88118186ebfffff,2022,10,1,0,0.09183418787171012
88118186ebfffff,2024,7,1,0,0.0922081467117213
88118186ebfffff,2024,8,1,0,0.09296298149836178
8811818721fffff,2023,9,1,0,0.15884305627208928
8811818755fffff,2022,16,1,1,0.07500961083934057
8811819029fffff,2024,23,1,0,0.03993358066300213
8811819051fffff,2022,17,1,0,0.10578305949534524
8811819051fffff,2023,13,1,0,0.1500999119945348
8811819051fffff,2023,18,1,0,0.1519907979332104
8811819051fffff,2023,21,1,0,0.10904769994403106
8811819053fffff,2022,7,1,2,0.002683283453917924
8811819057fffff,2024,14,1,0,0.12158737864299482
881181905dfffff,2023,7,1,1,0.29325057804192345
881181905dfffff,2024,19,1,2,0.29765283131745984
8811819099fffff,2022,12,1,2,0.056607112061275694
8811819099fffff,2023,17,1,0,0.10484008982627188
88118190a5fffff,2024,6,1,0,0.37418397119458435
88118190c1fffff,2023,18,1,1,0.07612538373560694
88118190c3fffff,2024,1,1,0,0.059610009098328254
88118190cdfffff,2022,7,1,0,0.09681216379064017
88118190d5fffff,2024,10,1,1,0.03881222492159324
88118190d7fffff,2024,16,1,0,0.03370358608680038
88118190e5fffff,2024,15,1,0,0.195062903025948
881181928dfffff,2022,20,1,0,0.7618295504866618
88118192a7fffff,2022,11,1,0,0.10849548432105917
88118192a7fffff,2022,19,1,0,0.15808271726438888
8811819405fffff,2022,12,1,0,0.06705860189912786
8811819405fffff,2023,13,1,0,0.06576331438100626
8811819405fffff,2024,8,1,0,0.06592255074709273
8811819405fffff,2024,12,1,0,0.06743525949803321
8811819405fffff,2024,18,1,0,0.06781917462232206
8811819407fffff,2022,14,1,0,0.008479247506272434
8811819407fffff,2024,19,1,1,0.010370133444948054
881181940dfffff,2024,16,1,0,0.1491123489168094
8811819411fffff,2022,19,1,0,0.06311834125718217
8811819411fffff,2024,17,1,1,0.064412109186474
8811819415fffff,2023,20,1,0,0.059451055072199374
8811819423fffff,2022,12,1,0,0.02547711528632216
8811819423fffff,2023,19,1,0,0.02812435560046803
8811819423fffff,2023,23,1,0,0.0279849624911763
8811819429fffff,2022,7,1,0,0.09067653683731948
8811819429fffff,2022,11,1,0,0.09307843376335585
881181942bfffff,2024,20,1,0,0.13308991811670423
8811819433fffff,2024,5,1,0,0.17918981850328247
8811819435fffff,2022,9,1,0,0.10915736739103593
8811819441fffff,2022,19,1,1,0.06056091341102547
8811819453fffff,2023,18,1,0,0.508626667167189
88118194c1fffff,2022,10,1,0,0.09947898257552094
88118194c1fffff,2024,7,1,0,0.0993695121646966
88118194c5fffff,2022,12,1,0,0.10859775753290628
88118194c5fffff,2022,15,1,0,0.10989726339875182
88118194cbfffff,2023,23,1,0,0.16637408870076634
88118194d1fffff,2023,16,1,1,0.13232649740084407
88118194d3fffff,2022,14,2,0,0.02686502332112622
88118194ddfffff,2022,11,1,0,0.08100427161678295
88118194ddfffff,2023,6,1,0,0.07743992097225061
8811819511fffff,2024,9,1,0,0.16265005177651856
8811819513fffff,2022,13,1,0,0.029339669286167148
8811819513fffff,2022,20,1,0,0.032151883902953204
881181951dfffff,2024,12,1,0,0.1460069887835126
8811819521fffff,2022,17,1,0,0.10844692058109238
8811819527fffff,2022,13,1,0,0.09989030625871385
8811819527fffff,2023,20,1,0,0.058459917020475
8811819529fffff,2024,9,1,0,0.12661004012279745
881181952bfffff,2023,18,1,0,0.128287185008611
8811819543fffff,2024,11,1,0,0.05705574090728174
8811819543fffff,2024,13,1,0,0.011548470448320008
8811819543fffff,2024,16,1,0,0.013146166921182312
8811819547fffff,2022,8,1,0,0.2011948839217748
881181954dfffff,2022,14,1,1,0.12914743930226985
881181954dfffff,2023,18,1,0,0.13109421163751225
881181954dfffff,2024,14,1,1,0.1294456299092866
881181954dfffff,2024,16,1,1,0.13036695858739702
881181955bfffff,2024,17,1,0,0.10428584544703513
881181958bfffff,2024,22,1,0,0.028777414310746596
8811819591fffff,2024,14,1,0,0.022221691404499196
8811819593fffff,2023,17,1,0,0.01887319699884739
88118195c5fffff,2022,8,1,0,0.08919950898930036
88118195c7fffff,2022,21,1,0,0.03944514542520014
88118195c7fffff,2023,12,1,0,0.03445459334047887
88118195c7fffff,2023,13,1,0,0.034369605618557064
88118195c7fffff,2023,15,1,1,0.03717608229878939
88118195c7fffff,2024,11,1,0,0.03361325124308682
88118195c7fffff,2024,16,1,0,0.03550413718176244
88118195c7fffff,2024,18,1,0,0.03690889511070837
88118195c9fffff,2022,18,1,0,0.04818063743486874
88118195c9fffff,2024,17,1,0,0.04766658726984845
88118195e3fffff,2023,13,1,0,0.2633082982014942
881181961bfffff,2022,19,1,1,1.0
881181962dfffff,2023,19,1,0,0.1308824226230153
8811819693fffff,2023,6,1,0,0.07411552413340972
8811819693fffff,2024,22,1,0,0.08077871955087532
88118196adfffff,2024,14,1,0,0.5979587810399476
8811819737fffff,2024,10,1,1,0.0773127833676337
881181b043fffff,2022,15,1,0,0.1317169032965008
881181b04bfffff,2022,0,1,1,0.018701309559840514
881181b04bfffff,2022,14,1,0,0.0233569851219822
881181b053fffff,2022,14,1,0,0.05408725617738967
881181b055fffff,2023,9,1,0,0.02938025757105898
881181b05dfffff,2023,9,1,0,0.11045832768833823
881181b05dfffff,2023,13,1,1,0.11197103643927872
881181b20bfffff,2022,13,1,0,0.10413520160657161
881181b20bfffff,2022,15,1,0,0.10232890310108925
881181b213fffff,2023,19,1,0,0.053876055111932004
881181b219fffff,2022,22,1,1,0.04807455491522453
881181b21dfffff,2024,8,1,0,0.07980102714648568
881181b255fffff,2023,10,1,0,0.11026027510732452
881181b257fffff,2023,14,1,0,0.10018175272529953
881181b283fffff,2022,14,1,0,0.05734574839841435
881181b283fffff,2023,14,1,0,0.05543149907093743
881181b283fffff,2024,9,1,0,0.05699245418831029
881181b283fffff,2024,12,1,0,0.0547042460208222
881181b283fffff,2024,16,2,0,0.05707704162150356
881181b283fffff,2024,23,1,0,0.06101149055527516
881181b287fffff,2024,20,1,0,0.03588694618059937
881181b289fffff,2022,6,1,0,0.09937015996167717
881181b289fffff,2022,9,1,0,0.09861954352276064
881181b289fffff,2023,16,1,0,0.1012667838369065
881181b289fffff,2023,17,1,0,0.10353010902676353
881181b289fffff,2023,20,1,0,0.1046646405899689
881181b289fffff,2024,8,1,1,0.0982413663350255
881181b289fffff,2024,14,1,0,0.10034545515879607
881181b28bfffff,2023,14,1,0,0.06174695065107205
881181b28bfffff,2023,18,1,0,0.06514480740413445
881181b28bfffff,2023,20,1,0,0.06385103947484261
881181b291fffff,2023,16,1,0,0.09708608688121216
881181b291fffff,2024,8,1,1,0.09435885998634791
881181b293fffff,2024,12,1,0,0.04030515491886006
881181b295fffff,2022,12,1,0,0.06217493616408814
881181b295fffff,2022,19,1,0,0.064822176478234
881181b295fffff,2023,14,1,0,0.06293129053955838
881181b295fffff,2023,19,1,0,0.064822176478234
881181b295fffff,2024,6,1,0,0.0599058730376774
881181b295fffff,2024,7,1,0,0.06028405022541252
881181b295fffff,2024,10,1,0,0.06104192418971254
881181b295fffff,2024,11,1,0,0.06179675897635302
881181b295fffff,2024,12,1,0,0.06217493616408814
