year,month,season,dtp_count,fatal_rate,avg_temp,avg_wind,ice_risk_pct,bad_weather_pct
2020,1,Зима,790,0.027848101265822784,,,,
2020,2,Зима,743,0.039030955585464336,,,,
2020,3,Весна,665,0.03609022556390978,,,,
2020,4,Весна,232,0.09051724137931035,,,,
2020,5,Весна,323,0.07739938080495357,,,,
2020,6,Лето,597,0.04187604690117253,,,,
2020,7,Лето,696,0.03879310344827586,,,,
2020,8,Лето,793,0.031525851197982346,,,,
2020,9,Осень,851,0.045828437132784956,,,,
2020,10,Осень,818,0.04156479217603912,,,,
2020,11,Осень,739,0.04330175913396482,,,,
2020,12,Зима,745,0.053691275167785234,,,,
2021,1,Зима,482,0.03734439834024896,,,,
2021,2,Зима,549,0.04007285974499089,,,,
2021,3,Весна,684,0.027777777777777776,,,,
2021,4,Весна,688,0.02616279069767442,,,,
2021,5,Весна,738,0.03523035230352303,,,,
2021,6,Лето,710,0.03943661971830986,,,,
2021,7,Лето,768,0.03125,,,,
2021,8,Лето,801,0.04119850187265917,,,,
2021,9,Осень,830,0.046987951807228916,,,,
2021,10,Осень,812,0.04926108374384237,,,,
2021,11,Осень,785,0.049681528662420385,,,,
2021,12,Зима,739,0.036535859269282815,,,,
2022,1,winter,538,0.027881040892193308,-6.1863382813143355,17.93306799426841,0.09665427509293681,0.6301115241635687
2022,2,winter,502,0.04780876494023904,-2.2874502049707086,17.1273307572323,0.5219123505976095,0.5697211155378487
2022,3,spring,611,0.03436988543371522,-2.1626841192013306,12.84564088053282,0.281505728314239,0.28314238952536824
2022,4,spring,630,0.04285714285714286,6.158095232137139,15.396481392307887,0.18253968253968253,0.5428571428571428
2022,5,spring,695,0.030215827338129497,11.082589949635294,16.2164580609301,0.0,0.5784172661870504
2022,6,summer,745,0.040268456375838924,20.09771811594099,12.73995344350802,0.0,0.3288590604026846
2022,7,summer,676,0.03550295857988166,21.849482241466905,11.934344853302077,0.0,0.27366863905325445
2022,8,summer,203,0.019704433497536946,23.69429531993482,9.703448884439148,0.0,0.053691275167785234
2022,8,Лето,468,0.03632478632478633,,,,
2022,9,Осень,673,0.031203566121842496,,,,
2022,10,Осень,698,0.0329512893982808,,,,
2022,11,Осень,614,0.050488599348534204,,,,
2022,12,Зима,576,0.034722222222222224,,,,
2023,1,Зима,530,0.03207547169811321,,,,
2023,2,Зима,531,0.03766478342749529,,,,
2023,3,Весна,555,0.021621621621621623,,,,
2023,4,Весна,728,0.04532967032967033,,,,
2023,5,Весна,744,0.028225806451612902,,,,
2023,6,Лето,670,0.03731343283582089,,,,
2023,7,Лето,695,0.0460431654676259,,,,
2023,8,Лето,842,0.030878859857482184,,,,
2023,9,Осень,759,0.023715415019762844,,,,
2023,10,Осень,791,0.04804045512010114,,,,
2023,11,Осень,653,0.045941807044410414,,,,
2023,12,Зима,479,0.04175365344467641,,,,
2024,1,Зима,461,0.03253796095444685,,,,
2024,2,Зима,489,0.03680981595092025,,,,
2024,3,Весна,532,0.043233082706766915,,,,
2024,4,Весна,811,0.027127003699136867,,,,
2024,5,Весна,825,0.04,,,,
2024,6,Лето,880,0.029545454545454545,,,,
2024,7,Лето,905,0.04088397790055249,,,,
2024,8,Лето,790,0.03417721518987342,,,,
2024,9,Осень,971,0.03192584963954686,,,,
2024,10,Осень,896,0.041294642857142856,,,,
2024,11,Осень,709,0.04372355430183357,,,,
2024,12,Зима,678,0.03982300884955752,,,,
