dtp_id,type_group,severity,dead_count,injured_count,risk_score,has_speed_violation,has_priority_violation,has_alcohol_violation,has_pedestrian_viol,has_distance_viol,has_maneuver_viol,has_young_driver,has_novice_driver,has_truck,has_bus,has_taxi,has_motorcycle,has_carsharing,is_night_dtp,is_weekend,is_rush_hour,has_traffic_light,has_crosswalk,has_camera,is_intersection
414822427,Наезд на пешехода,0,0,1,0.008595164216749615,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414826227,Наезд на пешехода,0,0,2,0.00897334140448474,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414826627,Наезд на пешехода,0,0,1,0.00897334140448474,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414828027,Столкновение,0,0,2,0.0069232190997226585,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414834027,Столкновение,0,0,1,0.00016497430264017954,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414778427,Наезд на пешехода,1,1,0,0.004057037963928129,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414600427,Столкновение,0,0,3,0.006710016214627713,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414577227,Столкновение,0,0,1,0.004275978785576791,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414582427,Столкновение,0,0,1,0.0015127087509404957,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414591227,Наезд на пешехода,0,0,1,0.007838809841279366,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414592227,Наезд на препятствие,0,0,1,0.0030503004795120565,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет
414604227,Столкновение,0,0,2,0.007088193402362838,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414604427,Наезд на стоящее ТС,0,0,2,0.008382343836405612,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414608627,Столкновение,0,0,2,0.007679573475192905,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414610027,Столкновение,0,0,1,0.007679573475192905,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414612427,Столкновение,1,1,1,0.007679573475192905,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414615427,Наезд на пешехода,0,0,1,0.009729695779954986,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414616827,Столкновение,0,0,1,0.008484872432812906,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414709427,Столкновение,0,0,1,0.006545041911987535,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414737227,Падение пассажира,0,0,1,0.006515958370610115,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414792827,Столкновение,0,0,1,0.005873675258439094,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414887627,Наезд на стоящее ТС,0,0,1,0.0018373019244180783,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
415443627,Столкновение,0,0,1,0.005788687536517286,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет
415452427,Столкновение,0,0,1,0.0050323331610470385,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
416480427,Столкновение,0,0,1,0.007844547777833085,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414595427,Наезд на пешехода,0,0,1,0.007460632653544245,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414380427,Столкновение,0,0,4,0.005788687536517286,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414799427,Наезд на препятствие,0,0,2,0.005813570514148351,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414834227,Столкновение,0,0,2,0.009161240227564782,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414860427,Наезд на пешехода,0,0,1,0.005569746714868625,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414381827,Столкновение,0,0,4,0.006166864724252411,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414956627,Наезд на пешехода,0,0,1,0.007460632653544245,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414406427,Наезд на препятствие,0,0,1,0.003680380365022769,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414402627,Наезд на препятствие,0,0,1,0.0020516418935918467,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414665027,Наезд на пешехода,0,0,1,0.007082455465809119,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414666027,Столкновение,0,0,1,0.0050323331610470385,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414402827,Наезд на стоящее ТС,0,0,4,0.00191728850513645,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
