feature,importance
type_code,0.1857611257439013
hour,0.13706620324291727
has_truck,0.10807593813700307
is_night_dtp,0.09501249464614463
distance_to_bus_stop_m,0.0839824236467363
has_distance_viol,0.05979313937723593
has_speed_violation,0.049245680923599905
day_of_week_dtp,0.04409121556541707
has_taxi,0.03225089463039912
is_multilane,0.026139111649985218
has_motorcycle,0.020982277801983553
poi_count_100m,0.018645293241917604
has_pedestrian_viol,0.018360598654609785
wind_speed_ms,0.017318626380980265
temp_c,0.01696984545399746
is_rush_hour,0.014664779940045537
has_bus,0.014288594308373473
is_intersection,0.012724799501407851
has_young_driver,0.012214969317451332
has_priority_violation,0.00726341844888321
has_novice_driver,0.007130515548538997
has_traffic_light,0.00531881396161915
is_dark,0.004780522308410178
has_carsharing,0.004700745139873711
bad_weather_flag,0.0024809449888416723
ice_risk,0.0007370274397263809
has_camera,0.0
has_crosswalk,0.0
has_maneuver_viol,0.0
has_alcohol_violation,0.0
