cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.59_37.73,2020-01-18 15:00:00,0.25,-4.0129023,none,0.0,2.0,14.291592,27.0,95.74045,1003.61414,
55.5_37.27,2020-01-19 05:00:00,-1.35,-5.6594057,none,0.0,4.0,12.224107,29.519999,89.52216,1003.24884,
55.5_37.33,2020-01-10 08:00:00,-0.05,-3.862411,none,0.0,7.0,10.594036,20.880001,93.65648,994.4233,
55.5_37.33,2020-01-23 04:00:00,-2.4,-8.169886,none,0.0,4.0,19.602652,38.519997,75.15585,979.6543,
55.5_37.6,2020-01-19 02:00:00,-1.45,-5.946844,none,0.0,3.0,13.37825,28.08,89.18188,1002.179,
55.61_37.26,2020-01-08 22:00:00,-0.4,-5.7194834,none,0.0,6.0,19.373219,37.44,85.08387,994.4663,
55.61_37.33,2020-01-01 22:00:00,-2.1,-6.885709,none,0.0,4.0,13.138765,26.28,75.78455,991.4894,
55.61_37.36,2020-01-05 23:00:00,-1.75,-6.231975,none,0.0,5.0,12.074766,23.4,81.79946,995.3793,
55.61_37.36,2020-01-17 19:00:00,1.3,-2.5238454,none,0.0,3.0,12.24,23.039999,94.74532,1001.8158,
55.61_37.39,2020-01-10 23:00:00,-0.5,-3.9249492,none,0.0,7.0,7.208994,14.4,91.5929,991.4873,
55.61_37.45,2020-01-07 06:00:00,-2.7,-7.631564,none,0.0,5.0,13.783817,26.28,76.25963,996.6898,
55.61_37.5,2020-01-13 19:00:00,1.1,-3.6699362,none,0.0,9.0,17.873556,33.839996,90.70481,982.47174,
55.61_37.53,2020-01-01 09:00:00,-1.2,-7.7904005,none,0.0,4.0,27.181787,52.92,83.42056,979.16046,
55.61_37.6,2020-01-09 19:00:00,0.85,-3.6852543,none,0.0,6.0,16.263872,29.16,92.35091,989.315,
55.61_37.6,2020-01-17 10:00:00,2.5,-1.7266939,none,0.0,3.0,15.39184,27.72,89.187874,1002.3626,
55.61_37.61,2020-01-15 07:00:00,0.5,-5.3069506,none,0.0,9.0,24.522314,43.199997,91.659004,1001.0361,
55.61_37.72,2020-01-17 06:00:00,2.45,-2.1307163,none,0.0,3.0,17.377226,30.960001,86.96076,999.66656,
55.61_37.72,2020-01-23 21:00:00,-5.5,-11.562941,none,0.0,2.0,18.668005,33.48,64.44383,990.32184,
55.61_37.73,2020-01-19 19:00:00,-0.85,-5.5480866,none,0.0,2.0,15.111424,27.72,87.921074,1005.58167,
55.61_37.74,2020-01-08 18:00:00,-0.6,-5.6327424,none,0.0,5.0,17.49615,30.960001,86.97386,999.5802,
55.62_37.41,2020-01-13 18:00:00,1.35,-3.3893514,none,0.0,9.0,17.873556,33.839996,90.39452,986.64435,
55.62_37.49,2020-01-13 14:00:00,1.65,-3.0650287,none,0.0,9.0,17.654686,33.12,88.15229,978.49774,
55.62_37.51,2020-01-04 12:00:00,-1.15,-6.3495264,none,0.0,4.0,17.727943,35.28,83.73903,969.9543,
55.62_37.51,2020-01-10 19:00:00,0.05,-3.846899,none,0.0,6.0,10.446206,21.24,88.005066,983.4801,
55.62_37.61,2020-01-16 12:00:00,3.0,-3.4110107,none,0.0,5.0,30.652895,55.079998,87.64285,993.45245,
