dtp_id,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m,sunrise_ts,sunset_ts,daylight_minutes,is_twilight,is_dark,is_daylight,day_of_week,is_weekend,is_holiday,holiday_name,season,ice_risk,low_visibility_flag,bad_weather_flag,dark_without_lights_flag
414772427,-3.65,-8.292158,none,0.0,5.0,10.587918,19.08,70.97757,1005.7173,,2020-01-07 08:56:18.029443,2020-01-07 16:13:47.663601,437.49390263333333,0,1,0,1,0,1,Рождество Христово,winter,0,0,0,1
414816227,-1.0,-5.280197,none,0.0,6.0,11.592894,22.319998,84.070435,1003.26117,,2020-01-07 08:56:50.574145,2020-01-07 16:13:05.590966,436.25028035,0,1,0,1,0,1,Рождество Христово,winter,1,0,0,1
414819827,-1.05,-5.456058,none,0.0,6.0,12.413477,28.8,84.06438,1004.9725,,2020-01-07 08:57:43.395398,2020-01-07 16:13:08.930295,435.4255816166667,1,0,0,1,0,1,Рождество Христово,winter,1,0,0,0
414822427,-0.9,-5.151699,snow,0.1,6.0,11.525623,20.16,84.396255,1004.13464,,2020-01-07 08:56:23.653153,2020-01-07 16:13:19.202300,436.9258191166667,0,1,0,1,0,1,Рождество Христово,winter,1,0,0,1
414826227,-0.7,-5.050071,snow,0.1,6.0,12.904882,21.599998,88.26104,1008.2005,,2020-01-07 08:57:49.846689,2020-01-07 16:14:35.765162,436.7653078833334,0,1,0,1,0,1,Рождество Христово,winter,1,0,0,1
414826627,-0.8,-5.1562304,snow,0.1,5.0,12.72283,21.599998,87.27668,997.5464,,2020-01-07 08:57:00.826970,2020-01-07 16:14:58.939121,437.96853585,0,1,0,1,0,1,Рождество Христово,winter,1,0,0,1
414828027,-0.7,-4.976122,snow,0.1,6.0,12.397806,19.44,88.26104,1006.9411,,2020-01-07 08:56:23.490975,2020-01-07 16:13:55.995597,437.5417437,0,1,0,1,0,1,Рождество Христово,winter,1,0,0,1
414834027,-3.65,-8.292158,none,0.0,5.0,10.587918,19.08,70.97757,1007.2431,,2020-01-07 08:56:08.223737,2020-01-07 16:13:43.895961,437.5945370666667,0,1,0,1,0,1,Рождество Христово,winter,0,0,0,1
414778427,-2.7,-7.631564,none,0.0,5.0,13.783817,26.28,76.25963,996.6898,,2020-01-07 08:57:00.703955,2020-01-07 16:15:41.411956,438.67846668333334,0,1,0,1,0,1,Рождество Христово,winter,0,0,0,1
414600427,-0.2,-5.357294,none,0.0,6.0,18.440998,36.36,85.106606,977.8126,,2020-01-04 08:58:21.050359,2020-01-04 16:09:20.052455,430.9833682666667,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
